dt,ndvi_d,ndvi_c,cosmos_vwc,precip,GCC
2016-09-03,0.0083128999461754,,59.2,5.8,0.39
2016-09-04,0.4929664873810508,,61.4,10.2,0.39
2016-09-05,0.0716354810929304,,53.2,6.2,0.388
2016-09-06,0.0421972534332084,,71.9,8.0,0.387
2016-09-07,0.0842627013630731,,70.4,0.0,0.389
2016-09-08,0.1096319498825372,,68.4,11.8,0.391
2016-09-09,-0.0008830281980337,,73.3,9.8,0.388
2016-09-10,0.4657534246575342,,71.5,0.0,0.387
2016-09-11,0.2269919703520691,,65.7,0.0,0.384
2016-09-12,0.0293555093555093,,72.9,9.6,0.384
2016-09-13,0.3710389089450461,0.3721,69.1,2.1,0.385
2016-09-14,0.3173553719008264,,71.5,0.0,0.384
2016-09-15,0.0679099557313742,,68.2,0.1,0.38
2016-09-16,0.8449531737773153,,64.4,0.0,0.383
2016-09-17,0.2872791003359135,,63.2,0.0,0.382
2016-09-18,0.0049425508697605,,62.9,5.4,0.381
2016-09-19,,,59.1,0.0,0.383
2016-09-20,0.072468536645554,,63.1,0.0,0.38
2016-09-21,0.0359996409013376,,61.6,5.5,0.382
2016-09-22,0.3721854304635761,,57.1,5.4,0.382
2016-09-23,0.1748010610079575,,62.7,0.0,0.383
2016-09-24,0.0095224758437193,,73.8,10.1,0.384
2016-09-25,0.1523576930302461,,71.1,2.2,0.387
2016-09-26,0.0810452565801931,,68.1,0.0,0.387
2016-09-27,0.0418431656162826,,63.2,1.3,0.383
2016-09-28,0.0205547300643883,,65.9,2.1,0.386
2016-09-29,0.7997785160575859,0.7997000000000001,63.6,2.3,0.384
2016-09-30,0.7243670886075949,,61.8,0.1,0.382
2016-10-01,0.8031655844155844,,63.6,0.8,0.382
2016-10-02,0.1440662373505059,,58.9,0.0,0.379
2016-10-03,0.2050606220347917,,60.4,0.0,0.383
2016-10-04,0.0179745725558965,,65.9,0.0,0.383
2016-10-05,0.1273277247376878,,60.5,0.0,0.381
2016-10-06,0.0547945205479452,,72.4,0.0,0.381
2016-10-07,0.0105347808604744,,67.1,5.0,0.382
2016-10-08,0.0040265130397076,,75.5,2.2,0.379
2016-10-09,0.7238177128116939,,67.7,0.0,0.381
2016-10-10,0.6727073036792971,,74.0,0.0,0.376
2016-10-11,0.0021077113162293,,69.7,0.1,0.381
2016-10-12,0.0072921730675741,,65.3,0.9,0.38
2016-10-13,0.7601713062098501,,68.1,7.4,0.384
2016-10-14,0.0117986695117359,,67.6,47.3,0.382
2016-10-15,-0.0111416361416361,0.7363000000000001,61.8,5.5,0.379
2016-10-16,0.0771170413952511,,67.5,4.8,0.382
2016-10-17,0.043104135128675,,61.4,3.6,0.382
2016-10-18,-0.0055478502080443,,70.5,2.6,0.381
2016-10-19,0.0826025765941323,,63.5,0.2,0.379
2016-10-20,0.1065837443705768,,63.1,0.0,0.379
2016-10-21,0.4146098229867863,,67.3,0.3,0.382
2016-10-22,0.0945638181998217,,63.8,0.0,0.38
2016-10-23,0.294755093194625,,63.4,0.0,0.377
2016-10-24,0.1451701126791379,,58.5,0.0,0.378
2016-10-25,0.2458075904677846,,64.3,0.2,0.376
2016-10-26,-0.0057395754097227,,63.4,0.2,0.377
2016-10-27,0.0255904124074726,,60.7,0.9,0.378
2016-10-28,0.2360902255639097,,54.8,0.3,0.381
2016-10-29,0.0267941084299592,,67.0,0.2,0.375
2016-10-30,0.7363811151463363,,61.8,0.0,0.379
2016-10-31,0.0566077663739286,0.7197,66.3,0.4,0.377
2016-11-01,0.7439962695266962,,65.3,0.0,0.375
2016-11-02,0.2085338883829842,,61.4,0.0,0.38
2016-11-03,0.0116492949110974,,67.4,1.0,0.375
2016-11-04,0.0676001931434089,,63.4,4.0,0.375
2016-11-05,0.7992010652463382,,58.2,0.0,0.37
2016-11-06,0.7197735543873838,,64.6,0.1,0.373
2016-11-07,0.6812903225806451,,69.1,0.2,0.376
2016-11-08,-0.0076909101919699,,63.8,24.0,0.383
2016-11-09,0.5363727311705017,,62.8,4.1,0.381
2016-11-10,0.6885279187817259,,64.1,3.7,0.378
2016-11-11,0.2003222341568206,,68.2,15.9,0.38
2016-11-12,0.04332784184514,,60.3,1.0,0.372
2016-11-13,-0.00540312960494,,68.6,1.1,0.375
2016-11-14,-0.0179264766625361,,77.3,0.8,0.353
2016-11-15,0.2079359023273559,,62.1,0.7,0.38
2016-11-16,0.7967032967032966,0.7384000000000001,63.6,2.5,0.376
2016-11-17,0.0428289417217406,,59.7,2.0,0.382
2016-11-18,0.0385366719943171,,58.9,5.9,0.377
2016-11-19,0.0362914932739765,,63.2,1.5,0.376
2016-11-20,0.3263229308005427,,61.5,0.0,0.372
2016-11-21,0.1391379809083019,,55.0,0.4,0.375
2016-11-22,0.625,,59.0,0.5,0.378
2016-11-23,0.7384167328567647,,54.6,0.0,0.366
2016-11-24,0.6266944734098019,,49.0,0.0,0.371
2016-11-25,0.5558073654390935,,51.7,0.1,0.366
2016-11-26,0.3997271487039563,,60.7,0.0,0.376
2016-11-27,0.0270975511842633,,59.3,0.0,0.375
2016-11-28,0.0200271283810739,,61.2,0.0,0.376
2016-11-29,0.6137898905194503,,64.4,0.0,0.375
2016-11-30,0.5185979971387696,,57.8,0.0,0.371
2016-12-01,-0.0060101710587147,,61.7,0.2,0.367
2016-12-02,-0.0057831918297034,0.2802,66.8,0.2,0.374
2016-12-03,-0.0175508976030488,,65.7,0.9,0.373
2016-12-04,0.0662278897573015,,69.1,0.0,0.377
2016-12-05,-0.0004302555718096,,62.8,0.0,0.373
2016-12-06,-0.0170124183475701,,73.2,4.4,0.368
2016-12-07,-0.0063492063492063,,84.9,0.5,0.377
2016-12-08,0.0471924158766538,,67.9,0.1,0.37
2016-12-09,-0.0151678527783768,,64.8,0.5,0.375
2016-12-10,0.0309144158802473,,68.1,0.6,0.37
2016-12-11,0.0190269094862734,,60.1,0.0,0.373
2016-12-12,0.0330342577487765,,56.4,0.1,0.372
2016-12-13,0.2802874743326489,,64.0,2.0,0.372
2016-12-14,-0.0204374327716027,,61.4,3.8,0.377
2016-12-15,0.6617826617826618,,66.6,1.4,0.378
2016-12-16,0.0181219110378912,,68.1,20.4,0.378
2016-12-17,0.2319377547239718,,71.4,0.2,0.374
2016-12-18,0.0842020850040096,0.5830000000000001,69.5,0.0,0.377
2016-12-19,0.3373754872239065,,59.0,0.2,0.359
2016-12-20,0.37287647566945,,53.9,8.8,0.373
2016-12-21,0.217682851111387,,64.0,0.9,0.375
2016-12-22,0.1305993690851735,,70.9,1.7,0.372
2016-12-23,-0.0209052671228576,,68.1,7.9,0.379
2016-12-24,0.0122910521140609,,65.5,5.5,0.377
2016-12-25,0.0726590613276165,,57.8,4.5,0.38
2016-12-26,0.5093419983753046,,57.8,0.2,0.366
2016-12-27,0.5830601092896175,,58.7,0.0,0.369
2016-12-28,0.2991202346041056,,59.7,0.0,0.369
2016-12-29,0.3962338949454906,,65.5,0.2,0.371
2016-12-30,-0.0075139888089528,,73.6,0.3,0.373
2017-01-01,0.6333591531112832,0.6333000000000001,73.7,0.0,0.374
2017-01-02,0.4893230349840981,,69.3,0.2,0.373
2017-01-03,0.0426085217043408,,76.1,0.1,0.373
2017-01-04,0.554229265280922,,59.2,0.7,0.37
2017-01-05,-0.0347840699042177,,52.9,0.0,0.376
2017-01-06,-0.025312330255296,,71.1,4.0,0.351
2017-01-07,0.0104166666666666,,65.8,0.7,0.355
2017-01-08,-0.0117416829745596,,76.6,0.0,0.353
2017-01-09,0.0854540583980712,,74.8,8.0,0.378
2017-01-10,0.0093433346492959,,69.4,0.6,0.381
2017-01-11,0.5287332646755921,,57.1,2.1,0.374
2017-01-12,0.0867397806580259,,53.3,1.5,0.357
2017-01-13,0.075094144576534,,53.3,4.4,0.338
2017-01-14,0.0278687511586232,,53.3,11.4,0.337
2017-01-15,0.0024810964083175,,73.2,3.5,0.366
2017-01-16,0.0213215859030837,,84.2,0.2,0.375
2017-01-17,0.0110912343470483,0.6712,84.1,0.0,0.378
2017-01-18,-0.0052120592743995,,62.4,0.0,0.381
2017-01-19,-0.0079927338782924,,69.6,0.0,0.375
2017-01-20,-0.0308370044052863,,71.5,0.0,0.377
2017-01-21,0.5737629459148447,,62.0,0.0,0.375
2017-01-22,0.0134608126808403,,62.1,0.0,0.372
2017-01-23,0.0413406054857323,,69.6,0.2,0.377
2017-01-24,0.0042868048622937,,75.8,0.6,0.375
2017-01-25,0.2157148812005002,,68.1,0.1,0.377
2017-01-26,0.5374868004223865,,56.6,0.7,0.373
2017-01-27,-0.0090974961758312,,61.3,1.4,0.375
2017-01-28,0.021860777437887,,71.0,3.5,0.373
2017-01-29,0.6712962962962963,,70.4,0.1,0.366
2017-01-30,-0.0133333333333333,,66.6,1.2,0.373
2017-01-31,0.0785144566301096,,60.1,17.8,0.378
2017-02-01,0.0111918319261731,,71.2,0.6,0.379
2017-02-02,-0.0164536741214057,0.7241000000000001,74.3,9.1,0.381
2017-02-03,0.2376967523411038,,67.2,18.0,0.378
2017-02-04,0.7241045498547919,,67.5,0.3,0.378
2017-02-05,0.2208595988538682,,65.3,0.0,0.361
2017-02-06,-0.0046029078687805,,66.0,6.0,0.379
2017-02-07,-0.001010441226002,,62.3,1.7,0.38
2017-02-08,0.5653153153153153,,68.4,0.2,0.375
2017-02-09,0.0330389919634884,,63.8,0.0,0.379
2017-02-10,0.0090444357058592,,58.8,0.0,0.379
2017-02-11,-0.0061538461538461,,68.2,1.0,0.373
2017-02-12,0.2028286724525876,,61.4,2.8,0.369
2017-02-13,0.5647058823529412,,60.0,0.9,0.371
2017-02-14,0.0792790152403282,,66.1,0.7,0.368
2017-02-15,-0.0291782453354505,,65.1,0.6,0.375
2017-02-16,0.0349398576221258,,75.4,3.8,0.378
2017-02-17,0.0463286004056795,,63.2,1.4,0.374
2017-02-18,0.0128538315656388,0.0826,78.4,0.8,0.378
2017-02-19,0.0231556273559504,,73.2,0.3,0.37
2017-02-20,0.0816589386913961,,61.1,0.3,0.382
2017-02-21,0.0011600928074245,,59.0,4.7,0.377
2017-02-22,0.1141379745238996,,61.0,4.5,0.382
2017-02-23,0.1748266666666666,,58.9,11.0,0.381
2017-02-24,0.2906003348481225,,69.2,1.9,0.382
2017-02-25,0.0574395930479016,,70.9,1.7,0.384
2017-02-26,-0.0012418503570319,,74.4,18.6,0.384
2017-02-27,0.6822864739115986,,60.2,0.0,0.377
2017-02-28,0.0205792682926829,,68.4,8.8,0.351
2017-03-01,0.0826446280991735,,65.6,0.6,0.381
2017-03-02,0.0489021213248976,,66.2,1.6,0.381
2017-03-03,-0.0022446689113355,,67.9,21.5,0.37
2017-03-04,0.037309277202361,,66.5,15.8,0.38
2017-03-05,0.0780169100691775,,63.8,0.4,0.379
2017-03-06,0.3344138303619665,0.7208,67.1,0.0,0.378
2017-03-07,0.2472686733556298,,61.7,9.2,0.377
2017-03-08,0.1098952425435377,,57.1,0.0,0.375
2017-03-09,0.2411860845201961,,54.9,0.6,0.377
2017-03-10,0.0174150930806699,,60.4,2.9,0.374
2017-03-11,0.0092130518234165,,70.1,5.1,0.377
2017-03-12,0.113322552556288,,70.4,0.4,0.376
2017-03-13,0.712090395480226,,65.7,0.1,0.373
2017-03-14,0.0389842404134498,,61.9,0.0,0.373
2017-03-15,0.0519461299393221,,67.8,0.0,0.373
2017-03-16,0.0344319646473945,,67.2,2.4,0.373
2017-03-17,0.0146982018950981,,66.8,9.0,0.373
2017-03-18,0.0687048267840824,,61.3,7.1,0.377
2017-03-19,0.7208659603869185,,66.5,9.0,0.377
2017-03-20,-0.0166752621626267,,66.8,1.2,0.376
2017-03-21,0.1068036945492389,,64.5,0.3,0.376
2017-03-22,0.0502041433539997,0.7009000000000001,76.1,7.4,0.375
2017-03-23,0.0627980279641154,,68.1,0.8,0.373
2017-03-24,0.4301806175956496,,53.7,0.0,0.374
2017-03-25,0.6821527138914444,,57.2,0.0,0.367
2017-03-26,0.4075743913435528,,61.3,0.0,0.368
2017-03-27,0.7009165460684997,,76.9,0.0,0.362
2017-03-28,0.042175189247644,,69.7,0.1,0.361
2017-03-29,0.0244044160371876,,72.8,5.0,0.37
2017-03-30,0.2190002761668047,,78.5,0.0,0.374
2017-03-31,0.7892314772204326,,69.4,13.5,0.375
2017-04-01,0.0958078007975877,,68.2,0.3,0.374
2017-04-02,0.8993097848152659,,69.0,0.0,0.375
2017-04-03,0.0330832196452933,,71.3,2.1,0.377
2017-04-04,0.0548399946886203,,61.1,0.0,0.378
2017-04-05,0.061675426364904,,64.5,0.3,0.377
2017-04-06,0.0218297157783444,,66.3,0.0,0.378
2017-04-07,0.0553499327052489,0.728,63.6,0.0,0.381
2017-04-08,0.7280334728033473,,61.0,0.0,0.375
2017-04-09,0.0268854748603351,,64.8,0.2,0.38
2017-04-10,0.6509751176866173,,62.7,0.8,0.377
2017-04-11,0.4719195305951383,,58.3,0.0,0.38
2017-04-12,0.0578947368421052,,62.3,3.8,0.378
2017-04-13,-0.0237533998186763,,65.6,0.1,0.381
2017-04-14,0.0127146999776935,,62.9,1.9,0.382
2017-04-15,0.2561079788142832,,63.5,0.0,0.379
2017-04-16,0.0430585350904076,,56.6,7.1,0.382
2017-04-17,0.1627855887521968,,60.1,1.1,0.381
2017-04-18,0.2151265450264861,,62.5,0.1,0.381
2017-04-19,0.1641163415488844,,71.5,3.0,0.383
2017-04-20,0.0153135313531353,,83.8,0.0,0.386
2017-04-21,0.0142262130145507,,74.6,1.3,0.385
2017-04-22,0.0204226855475699,,63.1,0.4,0.386
2017-04-23,0.0772825305535585,0.804,65.0,0.7,0.387
2017-04-24,,,65.2,4.0,0.387
2017-04-25,0.1084544348199584,,72.0,0.2,0.384
2017-04-26,0.5274356103023516,,61.3,0.1,0.385
2017-04-27,0.6696522655426765,,66.4,1.2,0.381
2017-04-28,0.1958596585562575,,59.9,0.0,0.382
2017-04-29,0.1097172633407314,,64.0,0.0,0.38
2017-04-30,0.5176402544823597,,56.4,0.0,0.377
2017-05-01,0.5885643256681169,,53.9,0.0,0.379
2017-05-02,0.1739644970414201,,54.4,0.0,0.379
2017-05-03,0.7131504257332072,,51.3,0.0,0.371
2017-05-04,0.8040749125334431,,49.1,0.0,0.374
2017-05-05,0.7583272550449793,,45.7,0.0,0.368
2017-05-06,0.3266998341625207,,47.7,0.0,0.375
2017-05-07,0.7318982387475538,,43.5,0.0,0.368
2017-05-08,0.7240822912464704,,41.1,0.0,0.366
2017-05-09,0.6695365451547902,0.7557,46.9,0.0,0.376
2017-05-10,0.183423756204548,,40.8,0.0,0.378
2017-05-11,0.7557660626029654,,37.4,0.4,0.375
2017-05-12,0.1501894170841989,,44.6,3.7,0.379
2017-05-13,0.0427555023605292,,40.9,1.1,0.384
2017-05-14,0.7568208778173191,,42.6,2.3,0.382
2017-05-15,0.0163665086887835,,51.9,24.8,0.387
2017-05-16,0.0643878701560738,,54.5,0.3,0.389
2017-05-17,0.2797157622739018,,48.4,2.8,0.388
2017-05-18,0.8135291499777481,,50.5,2.8,0.389
2017-05-19,0.527369826435247,,49.8,0.1,0.382
2017-05-20,0.1297278190173206,,54.1,2.8,0.39
2017-05-21,0.0623681831877071,,57.7,3.9,0.387
2017-05-22,0.1798539257455873,,59.6,1.0,0.388
2017-05-23,0.3726708074534161,,57.6,0.0,0.393
2017-05-24,0.0813962650697344,,49.7,0.0,0.388
2017-05-25,0.8257243195785777,0.8257,54.4,0.0,0.382
2017-05-26,0.8126377663482733,,49.6,0.0,0.387
2017-05-27,0.0609309791332263,,49.0,2.2,0.389
2017-05-28,0.1659910612202473,,49.7,0.0,0.394
2017-05-29,0.0099439522690291,,45.1,3.5,0.388
2017-05-30,0.2111593304401736,,55.8,0.8,0.393
2017-05-31,0.6673567977915804,,52.0,0.0,0.393
2017-06-01,0.008477160456181,,51.3,10.8,0.391
2017-06-02,0.8342258440046566,,54.8,0.1,0.388
2017-06-03,0.1623600344530577,,51.3,2.5,0.389
2017-06-04,0.3900148294611962,,48.9,4.8,0.39
2017-06-05,0.0441917048605217,,56.0,12.0,0.394
2017-06-06,0.1093881363848668,,51.9,6.2,0.388
2017-06-07,0.3428571428571428,,48.4,0.1,0.393
2017-06-08,0.0744997187173511,,54.5,13.6,0.383
2017-06-09,0.0410780548141397,,63.3,1.0,
2017-06-10,0.0768528183716075,0.866,63.1,16.3,
2017-06-11,0.1190742056643995,,60.7,2.6,
2017-06-12,0.0318404707420725,,64.6,1.4,0.394
2017-06-13,0.0275944433968194,,65.8,0.0,0.395
2017-06-14,0.0634984997161625,,61.4,0.1,0.393
2017-06-15,0.0562012652640871,,58.3,4.6,0.392
2017-06-16,0.0137750455373406,,64.7,0.0,0.393
2017-06-17,0.2158803706823925,,64.1,0.0,0.393
2017-06-18,0.9173068233167646,,62.8,0.0,0.393
2017-06-19,0.1530130519300194,,56.1,0.0,0.393
2017-06-20,0.8660245183887916,,46.7,0.0,0.392
2017-06-21,0.2979579207920792,,53.7,0.0,0.391
2017-06-22,0.0876811594202898,,46.6,2.1,0.392
2017-06-23,0.0578526754690757,,52.9,4.8,0.392
2017-06-24,0.3250605326876513,,49.3,0.2,0.389
2017-06-25,0.0839707632160462,,48.7,0.1,0.39
2017-06-26,0.0643933627644999,0.8478,51.0,1.6,0.387
2017-06-27,0.0130970222193262,,56.6,9.9,0.38
2017-06-28,0.0437217316390264,,52.4,1.6,0.388
2017-06-29,0.0050130622043352,,56.5,3.8,0.388
2017-06-30,0.0109850094070522,,56.2,0.0,0.39
2017-07-01,0.0071534287123828,,54.1,2.0,0.387
2017-07-02,0.079814921920185,,55.2,0.0,0.385
2017-07-03,0.1520504731861198,,51.1,0.7,0.388
2017-07-04,0.0276556093924711,,65.9,31.3,0.379
2017-07-05,0.0235682158920539,,55.8,0.8,0.387
2017-07-06,0.1200762388818297,,65.7,1.7,0.388
2017-07-07,0.0097652696063565,,64.8,1.4,0.386
2017-07-08,0.8478510687198345,,52.6,0.0,0.387
2017-07-09,0.0083102493074792,,61.5,7.3,0.384
2017-07-10,0.005619992825541,,58.9,0.0,0.386
2017-07-11,0.1332478005865102,,59.0,0.4,0.388
2017-07-12,0.6716535433070866,0.8703000000000001,55.8,0.0,0.381
2017-07-13,0.1808311493822538,,57.8,2.6,0.38
2017-07-14,0.4597609561752988,,60.5,7.6,0.383
2017-07-15,0.0087094220110847,,70.1,2.5,0.385
2017-07-16,0.6276205834921565,,58.1,0.0,0.383
2017-07-17,0.8908578332662103,,62.1,0.0,0.377
2017-07-18,0.8640256959314775,,52.4,0.0,0.377
2017-07-19,0.0011443714991266,,60.0,6.7,0.378
2017-07-20,0.4519445686186857,,60.0,0.3,0.383
2017-07-21,0.1231657673009561,,61.2,14.9,0.384
2017-07-22,0.0091227107483366,,63.7,4.4,0.385
2017-07-23,0.5702199661590525,,56.7,0.2,0.384
2017-07-24,0.8703557312252964,,53.0,0.0,0.381
2017-07-25,0.0357810897242502,,50.1,0.0,0.381
2017-07-26,0.5437411095305832,,51.5,26.0,0.382
2017-07-27,0.4057760780693656,,56.5,0.8,0.38
2017-07-28,0.0058572421324332,0.9653,61.5,9.3,0.38
2017-07-29,0.2811310494834149,,67.5,7.4,0.381
2017-07-30,0.1741811994895789,,62.6,7.6,0.382
2017-07-31,0.7858522029138143,,58.5,9.7,0.38
2017-08-01,0.307113325559207,,60.3,1.0,0.382
2017-08-02,-0.0160910115814287,,59.9,9.5,0.382
2017-08-03,0.6049280177187154,,65.0,4.6,0.386
2017-08-04,0.740045766590389,,69.3,0.0,0.383
2017-08-05,0.2509500351864884,,58.5,1.3,0.381
2017-08-06,0.0240067387336796,,61.3,9.4,0.381
2017-08-07,0.0187738136473848,,68.8,3.5,0.38
2017-08-08,0.1275408906117046,,62.2,0.0,0.381
2017-08-09,0.9653908794788274,,58.3,0.0,0.38
2017-08-10,0.1351083999670266,,55.6,0.0,0.382
2017-08-11,-0.0020247469066366,,57.4,2.9,0.381
2017-08-12,0.1855772411511743,,56.9,0.9,0.381
2017-08-13,0.3116743057427878,0.3307,60.3,0.1,0.379
2017-08-14,0.1164997364259356,,71.5,25.9,0.385
2017-08-15,0.0949043656008176,,60.9,1.1,0.383
2017-08-16,0.0108560626519038,,62.8,12.3,0.384
2017-08-17,0.03358225640567,,64.2,2.7,0.383
2017-08-18,0.0033753775093267,,70.3,3.3,0.384
2017-08-19,0.2327027027027027,,66.6,0.4,0.383
2017-08-20,0.0966028751945792,,65.6,0.0,0.382
2017-08-21,0.0105076591973667,,67.1,0.6,0.382
2017-08-22,0.024654622741764,,66.3,8.3,0.384
2017-08-23,0.3307129303334237,,71.4,1.4,0.383
2017-08-24,0.0692387185669996,,72.8,2.1,0.385
2017-08-25,0.0155027314336335,,64.5,11.7,0.386
2017-08-26,0.026828993349115,,69.1,0.1,0.388
2017-08-27,0.0440933742041971,,72.3,0.1,0.385
2017-08-28,0.0347895154884829,,77.2,1.2,0.386
2017-08-29,0.0141778190009275,0.4428,67.6,2.0,0.385
2017-08-30,0.7764309764309765,,70.4,5.5,0.385
2017-08-31,0.047132660595619,,79.3,0.0,0.383
2017-09-01,0.0498104102033781,,70.5,0.0,0.384
2017-09-02,0.4392523364485981,,61.6,0.0,0.381
2017-09-03,0.0148680528885718,,75.9,6.3,0.381
2017-09-04,0.0082951320672342,,72.5,3.8,0.386
2017-09-05,0.1108520353638395,,76.2,3.9,0.383
2017-09-06,0.0737839001291433,,66.2,0.2,0.382
2017-09-07,0.064347050295528,,76.8,1.8,0.381
2017-09-08,0.0692262943571844,,79.9,3.7,0.383
2017-09-09,0.0687983377582823,,69.1,7.4,0.384
2017-09-10,0.2523051131601005,,75.4,7.7,0.383
2017-09-11,0.442868830106354,,75.9,12.0,0.382
2017-09-12,0.0593567506319184,,79.6,12.3,0.382
2017-09-13,0.5301012253596165,,65.2,2.2,0.379
2017-09-14,0.7595427638293529,0.757,65.0,1.6,0.381
2017-09-15,0.8027152431689294,,72.3,0.1,0.382
2017-09-16,0.0022368584565676,,78.6,8.5,0.386
2017-09-17,0.6888598781549173,,68.0,0.0,0.379
2017-09-18,0.5357777418833791,,67.8,0.0,0.379
2017-09-19,0.7034659820282413,,59.8,0.0,0.378
2017-09-20,0.0130747038241974,,69.4,13.9,0.381
2017-09-21,0.2079127977392006,,67.7,5.0,0.375
2017-09-22,0.0081671415004748,,72.1,5.2,0.382
2017-09-23,0.04037558685446,,81.0,2.5,0.378
2017-09-24,0.1257120408564132,,71.9,0.4,0.381
2017-09-25,0.7570780203155393,,63.5,0.0,0.376
2017-09-26,0.6298426662155304,,64.6,0.0,0.379
2017-09-27,0.0099941781486512,,80.9,14.4,0.375
2017-09-28,0.1420693277310924,,77.2,1.6,0.38
2017-09-29,0.0592853815955818,,72.9,1.8,0.378
2017-09-30,0.6621499548328816,0.6621,69.5,0.0,0.376
2017-10-01,0.0307032023770221,,76.5,4.8,0.38
2017-10-02,0.0842490842490842,,66.3,3.0,0.38
2017-10-03,0.0479846449136276,,67.1,0.5,0.38
2017-10-04,0.0072430964237211,,65.7,18.1,0.38
2017-10-05,0.1193737769080234,,67.4,1.5,0.377
